Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team,player_link
Omari Hutchinson,eng ENG,"FW,MF",21-309,2,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.65,0.0,1.65,1.65,1.65,Matches,Nottingham Forest,/en/players/bd9553e6/Omari-Hutchinson
Ryan Yates,eng ENG,MF,27-287,2,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Nottingham Forest,/en/players/c1fe2a48/Ryan-Yates
Zach Abbott,eng ENG,DF,19-114,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham Forest,/en/players/c103921a/Zach-Abbott
Taiwo Awoniyi,ng NGA,FW,28-023,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham Forest,/en/players/e5478b87/Taiwo-Awoniyi
Willy Boly,ci CIV,DF,34-213,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham Forest,/en/players/a4ac4b8f/Willy-Boly
Jair Cunha,br BRA,DF,20-181,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham Forest,/en/players/ac31d35e/Jair-Cunha
Angus Gunn,sct SCO,GK,29-225,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham Forest,/en/players/e082af5b/Angus-Gunn
Douglas Luiz,br BRA,MF,27-118,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham Forest,/en/players/6f7d826d/Douglas-Luiz
Morato,br BRA,DF,24-066,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham Forest,/en/players/0f41e2ee/Morato
Squad Total,,,26.9,3,33,270.0,3.0,4.0,3.0,7.0,4.0,0.0,0.0,4.0,0.0,3.5,3.5,3.1,6.6,56.0,146.0,144.0,1.33,1.0,2.33,1.33,2.33,1.15,1.04,2.19,1.15,2.19,,Nottingham Forest,
Opponent Total,,,26.1,3,33,270.0,3.0,5.0,3.0,8.0,3.0,2.0,2.0,5.0,0.0,4.9,3.4,3.2,6.6,49.0,79.0,79.0,1.67,1.0,2.67,1.0,2.0,1.64,1.07,2.72,1.14,2.21,,Nottingham Forest,
Altay Bayındır,tr TUR,GK,27-143,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,Manchester United,/en/players/072e68ed/Altay-Bayindir
Bruno Fernandes,pt POR,MF,30-361,3,3,270.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.9,0.3,0.7,1.0,6.0,22.0,5.0,0.33,0.0,0.33,0.0,0.0,0.63,0.23,0.86,0.11,0.34,Matches,Manchester United,/en/players/507c7bdf/Bruno-Fernandes
Matthijs de Ligt,nl NED,DF,26-023,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.17,0.1,0.17,Matches,Manchester United,/en/players/d6e53a3a/Matthijs-de-Ligt
Bryan Mbeumo,cm CMR,MF,26-028,3,3,270.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,1.3,2.4,13.0,7.0,32.0,0.33,0.0,0.33,0.33,0.33,0.36,0.45,0.81,0.36,0.81,Matches,Manchester United,/en/players/6afaebf2/Bryan-Mbeumo
Leny Yoro,fr FRA,DF,19-295,3,3,260.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,4.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.1,0.09,0.1,Matches,Manchester United,/en/players/6763f716/Leny-Yoro
Luke Shaw,eng ENG,DF,30-054,3,3,255.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,5.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,Manchester United,/en/players/9c94165b/Luke-Shaw
Matheus Cunha,br BRA,"FW,MF",26-100,3,3,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,1.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.35,0.07,0.42,0.35,0.42,Matches,Manchester United,/en/players/dc62b55d/Matheus-Cunha
Casemiro,br BRA,MF,33-193,3,3,187.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.11,0.06,0.11,Matches,Manchester United,/en/players/4d224fe8/Casemiro
Mason Mount,eng ENG,MF,26-237,3,3,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,3.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.09,0.19,0.29,0.09,0.29,Matches,Manchester United,/en/players/9674002f/Mason-Mount
Diogo Dalot,pt POR,DF,26-170,3,2,183.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,10.0,6.0,19.0,0.0,0.49,0.49,0.0,0.49,0.01,0.37,0.38,0.01,0.38,Matches,Manchester United,/en/players/d9565625/Diogo-Dalot
Patrick Dorgu,dk DEN,DF,20-313,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Manchester United,/en/players/e6536124/Patrick-Dorgu
Amad Diallo,ci CIV,DF,23-055,3,2,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,0.9,14.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.41,0.06,0.46,0.41,0.46,Matches,Manchester United,/en/players/9dc96f10/Amad-Diallo
Benjamin Šeško,si SVN,FW,22-096,3,0,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.42,0.07,0.48,0.42,0.48,Matches,Manchester United,/en/players/3260690c/Benjamin-Sesko
Joshua Zirkzee,nl NED,"FW,MF",24-105,1,0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.97,0.07,1.04,0.97,1.04,Matches,Manchester United,/en/players/028e70b9/Joshua-Zirkzee
Manuel Ugarte Ribeiro,uy URU,MF,24-146,2,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.11,0.05,0.11,Matches,Manchester United,/en/players/c9817014/Manuel-Ugarte-Ribeiro
Kobbie Mainoo,eng ENG,MF,20-138,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2,0.34,0.14,0.34,Matches,Manchester United,/en/players/c6220452/Kobbie-Mainoo
Harry Maguire,eng ENG,DF,32-183,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.58,0.58,0.58,Matches,Manchester United,/en/players/d8931174/Harry-Maguire
Noussair Mazraoui,ma MAR,DF,27-294,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester United,/en/players/b74277a0/Noussair-Mazraoui
Ayden Heaven,eng ENG,DF,18-347,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester United,/en/players/64e17fab/Ayden-Heaven
Tyler Fredricson,eng ENG,DF,20-193,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester United,/en/players/58630379/Tyler-Fredricson
Tom Heaton,eng ENG,GK,39-142,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester United,/en/players/a6de6361/Tom-Heaton
André Onana,cm CMR,GK,29-155,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester United,/en/players/e9c0c1b2/Andre-Onana
Squad Total,,,26.3,3,33,270.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,0.0,6.7,5.1,4.3,9.4,76.0,126.0,126.0,0.67,0.33,1.0,0.33,0.67,2.24,1.42,3.66,1.71,3.13,,Manchester United,
Opponent Total,,,27.0,3,33,270.0,3.0,4.0,2.0,6.0,4.0,0.0,0.0,10.0,0.0,4.3,4.3,2.4,6.7,38.0,86.0,85.0,1.33,0.67,2.0,1.33,2.0,1.42,0.81,2.23,1.42,2.23,,Manchester United,
Tyrone Mings,eng ENG,DF,32-175,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches,Aston Villa,/en/players/8397a50c/Tyrone-Mings
Morgan Rogers,eng ENG,"FW,MF",23-040,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,3.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.14,0.05,0.14,Matches,Aston Villa,/en/players/2e5915f1/Morgan-Rogers
Youri Tielemans,be BEL,MF,28-120,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,7.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.04,0.1,Matches,Aston Villa,/en/players/56f7a928/Youri-Tielemans
Ollie Watkins,eng ENG,FW,29-248,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.3,1.4,8.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.37,0.1,0.47,0.37,0.47,Matches,Aston Villa,/en/players/aed3a70f/Ollie-Watkins
Matty Cash,pl POL,DF,28-028,3,3,253.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.3,3.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,Aston Villa,/en/players/2389cdc2/Matty-Cash
John McGinn,sct SCO,"FW,MF",30-321,3,3,229.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,4.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,0.26,0.28,0.02,0.28,Matches,Aston Villa,/en/players/90f91999/John-McGinn
Marco Bizot,nl NED,GK,34-178,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston Villa,/en/players/3d214e5f/Marco-Bizot
Lucas Digne,fr FRA,DF,32-046,3,2,161.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston Villa,/en/players/1b84dbe1/Lucas-Digne
Ezri Konsa,eng ENG,DF,27-316,2,2,155.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Aston Villa,/en/players/0313a347/Ezri-Konsa
Amadou Onana,be BEL,MF,24-019,2,2,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,Aston Villa,/en/players/828657ff/Amadou-Onana
Boubacar Kamara,fr FRA,"MF,DF",25-285,2,2,105.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Aston Villa,/en/players/cc77354e/Boubacar-Kamara
Donyell Malen,nl NED,"FW,MF",26-238,3,1,116.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches,Aston Villa,/en/players/116c35df/Donyell-Malen
Ian Maatsen,nl NED,DF,23-178,2,1,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,2.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.12,0.14,0.26,0.12,0.26,Matches,Aston Villa,/en/players/cab9634e/Ian-Maatsen
Pau Torres,es ESP,DF,28-231,2,1,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,5.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Aston Villa,/en/players/532e1e4f/Pau-Torres
Emiliano Martínez,ar ARG,GK,33-002,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston Villa,/en/players/7956236f/Emiliano-Martinez
Evann Guessand,ci CIV,"FW,MF",24-065,2,1,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,Aston Villa,/en/players/b73f17f8/Evann-Guessand
Emi Buendía,ar ARG,MF,28-253,2,0,104.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,3.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.18,0.2,0.39,0.18,0.39,Matches,Aston Villa,/en/players/66b76d44/Emi-Buendia
Lamare Bogarde,nl NED,MF,21-242,2,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston Villa,/en/players/bca5c4a7/Lamare-Bogarde
Bradley Paul Burrowes,eng ENG,DF,17-184,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston Villa,/en/players/802ee5ca/Bradley-Paul-Burrowes
Samuel Iling-Junior,eng ENG,DF,21-335,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa,/en/players/ba492306/Samuel-Iling-Junior
Jamaldeen Jimoh,eng ENG,MF,18-337,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa,/en/players/1e711234/Jamaldeen-Jimoh
Travis Patterson,eng ENG,DF,19-333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa,/en/players/e0b5d31b/Travis-Patterson
Sam Proctor,eng ENG,GK,18-257,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa,/en/players/b96cec48/Sam-Proctor
Triston Rowe,eng ENG,DF,19-109,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa,/en/players/3fcc22d5/Triston-Rowe
James Wright,eng ENG,GK,20-276,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa,/en/players/9417a430/James-Wright
Squad Total,,,28.5,3,33,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.5,2.5,2.2,4.6,46.0,134.0,131.0,0.0,0.0,0.0,0.0,0.0,0.83,0.72,1.55,0.83,1.55,,Aston Villa,
Opponent Total,,,26.9,3,33,270.0,3.0,4.0,1.0,5.0,3.0,1.0,1.0,5.0,0.0,5.3,4.5,4.1,8.6,48.0,91.0,90.0,1.33,0.33,1.67,1.0,1.33,1.76,1.37,3.13,1.49,2.86,,Aston Villa,
Dan Burn,eng ENG,DF,33-118,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,Matches,Newcastle United,/en/players/b2d31e83/Dan-Burn
Bruno Guimarães,br BRA,MF,27-292,3,3,270.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,3.0,22.0,7.0,0.33,0.0,0.33,0.33,0.33,0.06,0.01,0.06,0.06,0.06,Matches,Newcastle United,/en/players/82518f62/Bruno-Guimaraes
Valentino Livramento,eng ENG,DF,22-296,3,3,270.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,6.0,11.0,20.0,0.0,0.33,0.33,0.0,0.33,0.0,0.07,0.07,0.0,0.07,Matches,Newcastle United,/en/players/afed6722/Valentino-Livramento
Nick Pope,eng ENG,GK,33-138,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Newcastle United,/en/players/4b40d9ca/Nick-Pope
Fabian Schär,ch SUI,DF,33-258,3,3,260.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,Newcastle United,/en/players/c8aa95da/Fabian-Schar
Sandro Tonali,it ITA,MF,25-119,3,3,245.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,8.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03,0.23,0.26,0.03,0.26,Matches,Newcastle United,/en/players/0db169ae/Sandro-Tonali
Kieran Trippier,eng ENG,DF,34-350,3,3,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Newcastle United,/en/players/21512407/Kieran-Trippier
Anthony Elanga,se SWE,FW,23-130,3,2,196.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,9.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.26,0.14,0.4,0.26,0.4,Matches,Newcastle United,/en/players/2fba6108/Anthony-Elanga
Harvey Barnes,eng ENG,FW,27-269,3,2,187.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.9,11.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.13,0.32,0.45,0.13,0.45,Matches,Newcastle United,/en/players/3ea50f67/Harvey-Barnes
Joelinton,br BRA,MF,29-021,2,2,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Newcastle United,/en/players/c17bfb65/Joelinton
Anthony Gordon,eng ENG,FW,24-192,2,2,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,1.1,0.1,1.2,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.72,0.06,0.78,0.72,0.78,Matches,Newcastle United,/en/players/2bd83368/Anthony-Gordon
William Osula,dk DEN,FW,22-031,3,1,106.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1.0,1.0,9.0,0.85,0.0,0.85,0.85,0.85,0.34,0.0,0.34,0.34,0.34,Matches,Newcastle United,/en/players/7b355808/William-Osula
Jacob Murphy,eng ENG,FW,30-192,2,1,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,Newcastle United,/en/players/de112b84/Jacob-Murphy
Sven Botman,nl NED,DF,25-235,1,1,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Newcastle United,/en/players/ccce7025/Sven-Botman
