Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team,player_link
Ola Aina,ng NGA,DF,28-331,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.2,5.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches,Nottingham Forest,/en/players/246d153b/Ola-Aina
Elliot Anderson,eng ENG,MF,22-302,3,3,270.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.1,1.5,6.0,32.0,10.0,0.0,0.33,0.33,0.0,0.33,0.13,0.36,0.48,0.13,0.48,Matches,Nottingham Forest,/en/players/de31038e/Elliot-Anderson
Nikola Milenković,rs SRB,DF,27-327,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Nottingham Forest,/en/players/bee704fc/Nikola-Milenkovic
Murillo,br BRA,DF,23-062,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Nottingham Forest,/en/players/1704b0b8/Murillo
Matz Sels,be BEL,GK,33-190,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Nottingham Forest,/en/players/834b5c4c/Matz-Sels
Neco Williams,wls WAL,DF,24-144,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.4,9.0,16.0,19.0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.12,0.01,0.12,Matches,Nottingham Forest,/en/players/dd323728/Neco-Williams
Ibrahim Sangaré,ci CIV,MF,27-276,3,3,265.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Nottingham Forest,/en/players/bced0375/Ibrahim-Sangare
Morgan Gibbs-White,eng ENG,MF,25-220,3,3,254.0,2.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,7.0,25.0,31.0,0.0,0.35,0.35,0.0,0.35,0.23,0.1,0.33,0.23,0.33,Matches,Nottingham Forest,/en/players/32f60ed8/Morgan-Gibbs-White
Callum Hudson-Odoi,eng ENG,FW,24-301,3,3,249.0,2.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,0.9,13.0,7.0,34.0,0.36,0.0,0.36,0.36,0.36,0.14,0.2,0.34,0.14,0.34,Matches,Nottingham Forest,/en/players/15f3ec41/Callum-Hudson-Odoi
Chris Wood,nz NZL,FW,33-271,3,3,237.0,2.6,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.6,1.6,0.1,1.7,0.0,3.0,7.0,0.76,0.0,0.76,0.76,0.76,0.59,0.04,0.63,0.59,0.63,Matches,Nottingham Forest,/en/players/4e9a0555/Chris-Wood
Dan Ndoye,ch SUI,FW,24-314,3,3,205.0,2.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,9.0,3.0,21.0,0.44,0.44,0.88,0.44,0.88,0.05,0.17,0.21,0.05,0.21,Matches,Nottingham Forest,/en/players/8e697a8f/Dan-Ndoye
James Mcatee,eng ENG,"FW,MF",22-321,2,0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.46,Matches,Nottingham Forest,/en/players/96593e89/James-Mcatee
Igor Jesus,br BRA,FW,24-191,3,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches,Nottingham Forest,/en/players/dbe24cce/Igor-Jesus
Arnaud Kalimuendo,fr FRA,FW,23-227,2,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Nottingham Forest,/en/players/bf4c41f9/Arnaud-Kalimuendo
Jota Silva,pt POR,FW,26-034,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Nottingham Forest,/en/players/4d77e622/Jota-Silva
