Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team,player_link
Roméo Lavia,be BEL,MF,20.0,16,11,797.0,8.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.7,1.0,3.0,31.0,7.0,0.0,0.11,0.11,0.0,0.11,0.03,0.08,0.11,0.03,0.11,Matches,Chelsea,/en/players/ecad9aa5/Romeo-Lavia
Christopher Nkunku,fr FRA,FW,26.0,27,9,921.0,10.2,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,4.8,4.8,2.1,6.9,17.0,25.0,68.0,0.29,0.2,0.49,0.29,0.49,0.47,0.21,0.68,0.47,0.67,Matches,Chelsea,/en/players/7c56da38/Christopher-Nkunku
Filip Jørgensen,dk DEN,GK,22.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,/en/players/0107757e/Filip-Jorgensen
Axel Disasi,fr FRA,DF,26.0,6,4,364.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,6.0,16.0,2.0,0.25,0.0,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches,Chelsea,/en/players/ad82197c/Axel-Disasi
João Félix,pt POR,"FW,MF",24.0,12,3,369.0,4.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.2,2.2,1.0,3.2,21.0,26.0,30.0,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,Matches,Chelsea,/en/players/8aafd64f/Joao-Felix
Benoît Badiashile,fr FRA,DF,23.0,5,3,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,/en/players/06df8256/Benoit-Badiashile
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",25.0,13,2,264.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.1,1.3,5.0,14.0,11.0,0.0,0.34,0.34,0.0,0.34,0.08,0.36,0.44,0.08,0.44,Matches,Chelsea,/en/players/5c74c0f5/Kiernan-Dewsbury-Hall
Joshua Acheampong,eng ENG,DF,18.0,4,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,Chelsea,/en/players/b7e62e1d/Joshua-Acheampong
Tyrique George,eng ENG,FW,18.0,8,1,183.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,0.9,9.0,3.0,22.0,0.49,0.49,0.98,0.49,0.98,0.1,0.36,0.46,0.1,0.46,Matches,Chelsea,/en/players/e6f7797e/Tyrique-George
Renato Veiga,pt POR,"DF,MF",21.0,7,1,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,4.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Chelsea,/en/players/fc8fcbd1/Renato-Veiga
Mykhailo Mudryk,ua UKR,FW,23.0,7,1,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.2,7.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.15,0.58,0.73,0.15,0.73,Matches,Chelsea,/en/players/049a888d/Mykhailo-Mudryk
Marc Guiu,es ESP,FW,18.0,3,0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Chelsea,/en/players/d3d774cc/Marc-Guiu
Mathis Amougou,fr FRA,MF,18.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,/en/players/f93cca97/Mathis-Amougou
Shumaira Mheuka,eng ENG,MF,16.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06,0.0,5.06,5.06,5.06,Matches,Chelsea,/en/players/43d0b694/Shumaira-Mheuka
Aaron Anselmino,ar ARG,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,/en/players/1d87670e/Aaron-Anselmino
Genesis Antwi,se SWE,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,/en/players/aaa96db5/Genesis-Antwi
Marcus Bettinelli,eng ENG,GK,32.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,/en/players/0d85a4e8/Marcus-Bettinelli
Cesare Casadei,it ITA,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,/en/players/fb920f3a/Cesare-Casadei
Samuel Rak-Sakyi,eng ENG,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,/en/players/301ba71e/Samuel-Rak-Sakyi
Ishé Samuels-Smith,eng ENG,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,/en/players/da95fde0/Ishe-Samuels-Smith
Squad Total,,,23.7,38,418,3420.0,38.0,61.0,47.0,108.0,57.0,4.0,5.0,101.0,2.0,67.8,63.8,52.7,116.5,861.0,1595.0,1576.0,1.61,1.24,2.84,1.5,2.74,1.78,1.39,3.17,1.68,3.07,,Chelsea,
Opponent Total,,,26.5,38,418,3420.0,38.0,43.0,33.0,76.0,38.0,5.0,6.0,98.0,2.0,47.3,42.6,35.3,77.8,600.0,1206.0,1190.0,1.13,0.87,2.0,1.0,1.87,1.24,0.93,2.17,1.12,2.05,,Chelsea,
Mateus Fernandes,pt POR,MF,20.0,36,34,2909.0,32.3,2.0,4.0,6.0,2.0,0.0,0.0,8.0,0.0,4.0,4.0,3.0,7.0,76.0,145.0,108.0,0.06,0.12,0.19,0.06,0.19,0.12,0.09,0.22,0.12,0.22,Matches,Southampton,/en/players/ef491564/Mateus-Fernandes
Kyle Walker-Peters,eng ENG,DF,27.0,33,33,2918.0,32.4,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,2.8,3.6,114.0,139.0,144.0,0.0,0.06,0.06,0.0,0.06,0.03,0.09,0.11,0.03,0.11,Matches,Southampton,/en/players/984a5a64/Kyle-Walker-Peters
Taylor Harwood-Bellis,eng ENG,DF,22.0,34,32,2825.0,31.4,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.8,1.8,1.0,2.8,29.0,125.0,9.0,0.03,0.0,0.03,0.03,0.03,0.06,0.03,0.09,0.06,0.09,Matches,Southampton,/en/players/47327321/Taylor-Harwood-Bellis
Aaron Ramsdale,eng ENG,GK,26.0,30,30,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Southampton,/en/players/466fb2c5/Aaron-Ramsdale
Jan Bednarek,pl POL,DF,28.0,30,30,2531.0,28.1,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,0.7,0.7,0.5,1.2,5.0,60.0,2.0,0.07,0.0,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04,Matches,Southampton,/en/players/4115ce4e/Jan-Bednarek
Flynn Downes,eng ENG,MF,25.0,27,25,2151.0,23.9,1.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,0.6,0.6,1.1,1.7,29.0,66.0,29.0,0.04,0.0,0.04,0.04,0.04,0.03,0.05,0.07,0.03,0.07,Matches,Southampton,/en/players/69fdb896/Flynn-Downes
Joe Aribo,ng NGA,"MF,DF",28.0,32,21,2013.0,22.4,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.7,2.7,1.6,4.3,36.0,75.0,65.0,0.13,0.0,0.13,0.13,0.13,0.12,0.07,0.19,0.12,0.19,Matches,Southampton,/en/players/328f7d51/Joe-Aribo
Tyler Dibling,eng ENG,"FW,MF",18.0,33,20,1874.0,20.8,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,2.5,2.5,1.5,4.1,69.0,64.0,96.0,0.1,0.0,0.1,0.1,0.1,0.12,0.07,0.2,0.12,0.2,Matches,Southampton,/en/players/bdcc89ae/Tyler-Dibling
Lesley Ugochukwu,fr FRA,MF,20.0,26,18,1655.0,18.4,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.9,0.9,1.0,1.9,29.0,49.0,20.0,0.05,0.05,0.11,0.05,0.11,0.05,0.06,0.1,0.05,0.1,Matches,Southampton,/en/players/1df4a109/Lesley-Ugochukwu
Ryan Manning,ie IRL,"DF,MF",28.0,24,18,1462.0,16.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,3.2,3.6,14.0,35.0,74.0,0.0,0.06,0.06,0.0,0.06,0.02,0.2,0.22,0.02,0.22,Matches,Southampton,/en/players/847b53eb/Ryan-Manning
Kamaldeen Sulemana,gh GHA,"FW,MF",22.0,26,17,1402.0,15.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,1.0,2.5,63.0,27.0,87.0,0.06,0.06,0.13,0.06,0.13,0.1,0.06,0.16,0.1,0.16,Matches,Southampton,/en/players/a62f8bf1/Kamaldeen-Sulemana
Jack Stephens,eng ENG,DF,30.0,19,17,1389.0,15.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.6,0.6,0.2,0.7,14.0,63.0,2.0,0.06,0.0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,Matches,Southampton,/en/players/6adbc307/Jack-Stephens
Yukinari Sugawara,jp JPN,"DF,MF",24.0,30,16,1557.0,17.3,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,2.2,2.7,33.0,72.0,78.0,0.06,0.06,0.12,0.06,0.12,0.03,0.13,0.16,0.03,0.16,Matches,Southampton,/en/players/580bcd18/Yukinari-Sugawara
Adam Armstrong,eng ENG,"FW,MF",27.0,20,15,1248.0,13.9,2.0,2.0,4.0,2.0,0.0,1.0,4.0,0.0,3.3,2.3,1.2,3.5,25.0,21.0,79.0,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches,Southampton,/en/players/68c720b5/Adam-Armstrong
Cameron Archer,eng ENG,FW,23.0,35,13,1441.0,16.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,5.7,4.9,0.5,5.4,22.0,14.0,66.0,0.12,0.0,0.12,0.12,0.12,0.36,0.03,0.39,0.31,0.34,Matches,Southampton,/en/players/05e8ca6d/Cameron-Archer
James Bree,eng ENG,DF,26.0,17,13,1075.0,11.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,1.0,13.0,34.0,43.0,0.0,0.08,0.08,0.0,0.08,0.01,0.08,0.08,0.01,0.08,Matches,Southampton,/en/players/c07b7c5c/James-Bree
Paul Onuachu,ng NGA,FW,30.0,25,11,1050.0,11.7,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,3.6,3.6,0.5,4.1,7.0,13.0,40.0,0.34,0.09,0.43,0.34,0.43,0.31,0.04,0.35,0.31,0.35,Matches,Southampton,/en/players/c06d1086/Paul-Onuachu
Nathan Wood-Gordon,eng ENG,DF,22.0,11,9,773.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.3,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Southampton,/en/players/4ccf2d5b/Nathan-Wood-Gordon
William Smallbone,ie IRL,MF,24.0,18,6,690.0,7.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.7,1.3,5.0,27.0,25.0,0.13,0.0,0.13,0.13,0.13,0.07,0.1,0.17,0.07,0.17,Matches,Southampton,/en/players/5e105217/William-Smallbone
Welington,br BRA,DF,23.0,10,6,482.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,5.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,Southampton,/en/players/a7f95b1f/Welington
Alex McCarthy,eng ENG,GK,34.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Southampton,/en/players/36c2ca73/Alex-McCarthy
Adam Lallana,eng ENG,MF,36.0,14,5,361.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.9,1.1,6.0,24.0,10.0,0.0,0.5,0.5,0.0,0.5,0.04,0.23,0.27,0.04,0.27,Matches,Southampton,/en/players/99813635/Adam-Lallana
Ben Brereton,cl CHI,FW,25.0,10,4,449.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.1,1.0,12.0,9.0,42.0,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.2,0.18,0.2,Matches,Southampton,/en/players/57827369/Ben-Brereton
Ross Stewart,sct SCO,FW,28.0,12,4,389.0,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.0,1.1,3.0,2.0,10.0,0.23,0.0,0.23,0.23,0.23,0.25,0.0,0.25,0.25,0.25,Matches,Southampton,/en/players/18986367/Ross-Stewart
Ryan Fraser,sct SCO,"FW,DF",30.0,8,4,306.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,10.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,Southampton,/en/players/d56543a0/Ryan-Fraser
Charlie Taylor,eng ENG,DF,30.0,8,3,356.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Southampton,/en/players/cc2d7ad5/Charlie-Taylor
Joe Lumley,eng ENG,GK,29.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Southampton,/en/players/bdf3a08e/Joe-Lumley
Armel Bella Kotchap,de GER,DF,22.0,4,2,331.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,Southampton,/en/players/a39d11bc/Armel-Bella-Kotchap
Albert Grønbaek,dk DEN,"FW,MF",23.0,4,2,143.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,Matches,Southampton,/en/players/0da5076f/Albert-Gronbaek
Jay Robinson,eng ENG,"MF,FW",17.0,4,1,137.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03,0.44,0.47,0.03,0.47,Matches,Southampton,/en/players/2a616c85/Jay-Robinson
Maxwel Cornet,ci CIV,FW,27.0,2,1,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,Southampton,/en/players/beb391dd/Maxwel-Cornet
Samuel Edozie,eng ENG,"DF,FW",21.0,2,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,6.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,Southampton,/en/players/007414dd/Samuel-Edozie
Samuel Amo-Ameyaw,eng ENG,"FW,DF",18.0,2,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.22,0.29,0.07,0.29,Matches,Southampton,/en/players/9eedf0e0/Samuel-Amo-Ameyaw
Joachim Kayi Sanda,fr FRA,DF,17.0,2,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Southampton,/en/players/e2b2a181/Joachim-Kayi-Sanda
Ronnie Edwards,eng ENG,DF,21.0,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Southampton,/en/players/be90c4b0/Ronnie-Edwards
Carlos Alcaraz,ar ARG,MF,21.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.62,0.86,1.48,0.62,1.48,Matches,Southampton,/en/players/4abac767/Carlos-Alcaraz
Jayden Moore,,DF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Southampton,/en/players/ed23d14e/Jayden-Moore
Joe O'Brien-Whitmarsh,ie IRL,MF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Southampton,/en/players/fd1c27b8/Joe-OBrien-Whitmarsh
Squad Total,,,25.2,38,418,3420.0,38.0,25.0,16.0,41.0,25.0,0.0,2.0,89.0,3.0,32.7,30.9,24.8,55.8,640.0,1127.0,1118.0,0.66,0.42,1.08,0.66,1.08,0.86,0.65,1.51,0.81,1.47,,Southampton,
Opponent Total,,,26.2,38,418,3420.0,38.0,86.0,61.0,147.0,79.0,7.0,9.0,54.0,1.0,84.8,77.9,63.0,140.9,814.0,1647.0,1635.0,2.26,1.61,3.87,2.08,3.68,2.23,1.66,3.89,2.05,3.71,,Southampton,
Milos Kerkez,hu HUN,DF,20.0,38,38,3336.0,37.1,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,0.6,0.5,3.9,4.4,106.0,159.0,197.0,0.05,0.13,0.19,0.05,0.19,0.02,0.1,0.12,0.01,0.12,Matches,Bournemouth,/en/players/0ad53bdc/Milos-Kerkez
Antoine Semenyo,gh GHA,FW,24.0,37,36,3203.0,35.6,11.0,5.0,16.0,11.0,0.0,0.0,9.0,0.0,10.0,10.0,5.8,15.8,140.0,109.0,282.0,0.31,0.14,0.45,0.31,0.45,0.28,0.16,0.44,0.28,0.44,Matches,Bournemouth,/en/players/efd2ec23/Antoine-Semenyo
Illia Zabarnyi,ua UKR,DF,21.0,36,35,3109.0,34.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.3,1.3,0.7,2.0,27.0,140.0,4.0,0.0,0.03,0.03,0.0,0.03,0.04,0.02,0.06,0.04,0.06,Matches,Bournemouth,/en/players/88968486/Illia-Zabarnyi
Lewis Cook,eng ENG,"MF,DF",27.0,36,32,2978.0,33.1,1.0,3.0,4.0,1.0,0.0,0.0,8.0,1.0,0.9,0.9,4.1,5.1,33.0,158.0,52.0,0.03,0.09,0.12,0.03,0.12,0.03,0.12,0.15,0.03,0.15,Matches,Bournemouth,/en/players/2afc7272/Lewis-Cook
Kepa Arrizabalaga,es ESP,GK,29.0,31,31,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,/en/players/28d596a0/Kepa-Arrizabalaga
Justin Kluivert,nl NED,MF,25.0,34,29,2340.0,26.0,12.0,6.0,18.0,6.0,6.0,6.0,8.0,0.0,10.3,5.6,4.8,10.5,81.0,105.0,173.0,0.46,0.23,0.69,0.23,0.46,0.4,0.19,0.58,0.22,0.4,Matches,Bournemouth,/en/players/4c3a6744/Justin-Kluivert
Evanilson,br BRA,FW,24.0,31,28,2319.0,25.8,10.0,1.0,11.0,10.0,0.0,1.0,1.0,1.0,12.5,11.7,1.9,13.6,29.0,28.0,99.0,0.39,0.04,0.43,0.39,0.43,0.48,0.07,0.56,0.45,0.53,Matches,Bournemouth,/en/players/6f3cc2fe/Evanilson
Ryan Christie,sct SCO,MF,29.0,29,27,2117.0,23.5,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,1.8,1.8,3.5,5.4,34.0,137.0,44.0,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,Matches,Bournemouth,/en/players/26ce2263/Ryan-Christie
Dean Huijsen,es ESP,DF,19.0,32,26,2427.0,27.0,3.0,2.0,5.0,3.0,0.0,0.0,10.0,0.0,1.9,1.9,2.0,3.9,41.0,132.0,10.0,0.11,0.07,0.19,0.11,0.19,0.07,0.08,0.14,0.07,0.14,Matches,Bournemouth,/en/players/87278bce/Dean-Huijsen
