Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team,player_link
Moisés Caicedo,ec ECU,"MF,DF",22.0,38,38,3351.0,37.2,1.0,2.0,3.0,1.0,0.0,0.0,11.0,0.0,0.8,0.8,3.0,3.8,43.0,215.0,37.0,0.03,0.05,0.08,0.03,0.08,0.02,0.08,0.1,0.02,0.1,Matches,Chelsea,/en/players/16264a81/Moises-Caicedo
Cole Palmer,eng ENG,"MF,FW",22.0,37,36,3191.0,35.5,15.0,8.0,23.0,11.0,4.0,5.0,7.0,0.0,17.3,13.3,10.9,24.2,120.0,214.0,187.0,0.42,0.23,0.65,0.31,0.54,0.49,0.31,0.79,0.38,0.68,Matches,Chelsea,/en/players/dc7f8a28/Cole-Palmer
Levi Colwill,eng ENG,DF,21.0,35,35,3149.0,35.0,2.0,1.0,3.0,2.0,0.0,0.0,9.0,0.0,1.9,1.9,1.1,3.0,14.0,131.0,12.0,0.06,0.03,0.09,0.06,0.09,0.05,0.03,0.09,0.05,0.09,Matches,Chelsea,/en/players/700783e7/Levi-Colwill
Marc Cucurella,es ESP,DF,26.0,36,33,2988.0,33.2,5.0,1.0,6.0,5.0,0.0,0.0,10.0,1.0,2.8,2.8,2.1,4.9,35.0,118.0,117.0,0.15,0.03,0.18,0.15,0.18,0.08,0.06,0.15,0.08,0.15,Matches,Chelsea,/en/players/1daec722/Marc-Cucurella
Enzo Fernández,ar ARG,MF,23.0,36,32,2947.0,32.7,6.0,7.0,13.0,6.0,0.0,0.0,8.0,0.0,6.1,6.1,6.8,12.9,60.0,212.0,126.0,0.18,0.21,0.4,0.18,0.4,0.19,0.21,0.39,0.19,0.39,Matches,Chelsea,/en/players/5ff4ab71/Enzo-Fernandez
Robert Sánchez,es ESP,GK,26.0,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,/en/players/6a713852/Robert-Sanchez
Nicolas Jackson,sn SEN,FW,23.0,30,28,2220.0,24.7,10.0,5.0,15.0,10.0,0.0,0.0,7.0,1.0,12.3,12.3,4.3,16.6,47.0,38.0,129.0,0.41,0.2,0.61,0.41,0.61,0.5,0.17,0.67,0.5,0.67,Matches,Chelsea,/en/players/9c36ed83/Nicolas-Jackson
Noni Madueke,eng ENG,FW,22.0,32,27,2033.0,22.6,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,9.6,9.6,4.2,13.9,154.0,69.0,226.0,0.31,0.13,0.44,0.31,0.44,0.43,0.19,0.61,0.43,0.61,Matches,Chelsea,/en/players/bf34eebd/Noni-Madueke
Pedro Neto,pt POR,FW,24.0,35,24,2269.0,25.2,4.0,6.0,10.0,4.0,0.0,0.0,8.0,0.0,3.5,3.5,6.7,10.2,126.0,60.0,253.0,0.16,0.24,0.4,0.16,0.4,0.14,0.27,0.4,0.14,0.4,Matches,Chelsea,/en/players/7ba2eaa9/Pedro-Neto
Malo Gusto,fr FRA,DF,21.0,32,19,1862.0,20.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.7,1.7,1.4,3.1,50.0,119.0,85.0,0.0,0.05,0.05,0.0,0.05,0.08,0.07,0.15,0.08,0.15,Matches,Chelsea,/en/players/d56b9520/Malo-Gusto
Jadon Sancho,eng ENG,FW,24.0,31,19,1764.0,19.6,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,2.2,2.2,3.7,5.8,102.0,90.0,225.0,0.15,0.2,0.36,0.15,0.36,0.11,0.19,0.3,0.11,0.3,Matches,Chelsea,/en/players/dbf053da/Jadon-Sancho
Tosin Adarabioyo,eng ENG,DF,26.0,22,15,1409.0,15.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,0.2,1.2,5.0,42.0,1.0,0.06,0.06,0.13,0.06,0.13,0.06,0.01,0.07,0.06,0.07,Matches,Chelsea,/en/players/c81d773d/Tosin-Adarabioyo
Wesley Fofana,fr FRA,DF,23.0,14,14,1172.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.4,0.8,19.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.06,Matches,Chelsea,/en/players/132a82f1/Wesley-Fofana
Reece James,eng ENG,"DF,MF",24.0,19,12,1063.0,11.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.7,1.1,7.0,64.0,12.0,0.08,0.08,0.17,0.08,0.17,0.04,0.06,0.1,0.04,0.1,Matches,Chelsea,/en/players/1265a93a/Reece-James
Trevoh Chalobah,eng ENG,DF,25.0,13,11,910.0,10.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,1.2,2.0,4.0,37.0,2.0,0.0,0.1,0.1,0.0,0.1,0.08,0.12,0.19,0.08,0.19,Matches,Chelsea,/en/players/5515376c/Trevoh-Chalobah
